Tipo de Asunto,Número completo del expediente,Número del expediente,Año,Acumulación de asuntos,Actor promovente,Actor legitimado de acuerdo a la CPEUM,Categoría del actor legitimado,Nombre del partido político cuando éste sea actor legitimado,Nombre(s) del (los) partido(s) político(s) que forman la minoría legislativa legitimada,Artículos constitucionales que se estiman violados,Fecha de ingreso a la SCJN,Fecha del acuerdo de radicación y turno,Ministro instructor designado en el auto de radicación y turno,Fecha del acuerdo inicial,Sentido del acuerdo inicial,Recurso de Reclamación,Asunto concluido por acuerdo,Fecha del acuerdo por el que se concluyó el asunto,Órgano resolutor de la sentencia ejecutoria,Fecha de sentencia ejecutoria,Nombre del ministro ponente,Fecha de notificación de la sentencia ejecutoria,Norma válida,Inconstitucionalidad,Norma inválida,Norma sobreseida,Sentencia desestimada,Sentencia otra,Tema de la Acción de Inconstitucionalidad,Órgano legislativo emisor de la norma impugnada,Nivel de gobierno del órgano legislativo emisor de la norma impugnada,Número de la legislatura del órgano emisor de la norma impugnada,Órgano que promulgó la norma impugnada,Nivel de gobierno del órgano que promulgó la norma impugnada,Entidad federativa del órgano emisor y promulgador de la norma impugnada,Norma impugnada,Validez territorial de la norma impugnada,Tipo de la norma impugnada,Fecha(s) de publicación de la norma impugnada,Órgano legislativo emisor de la norma impugnada 2,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 2,Número de la legislatura del órgano emisor de la norma impugnada 2,Órgano que promulgó la norma impugnada 2,Nivel de gobierno del órgano que promulgó la norma impugnada 2,Entidad federativa del órgano emisor y promulgador de la norma impugnada 2,Norma impugnada 2,Validez territorial de la norma impugnada 2,Tipo de la norma impugnada 2,Fecha(s) de publicación de la norma impugnada 2,Órgano legislativo emisor de la norma impugnada 3,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 3,Número de la legislatura del órgano emisor de la norma impugnada 3,Órgano que promulgó la norma impugnada 3,Nivel de gobierno del órgano que promulgó la norma impugnada 3,Entidad federativa del órgano emisor y promulgador de la norma impugnada 3,Norma impugnada 3,Validez territorial de la norma impugnada 3,Tipo de la norma impugnada 3,Fecha(s) de publicación de la norma impugnada 3,Órgano legislativo emisor de la norma impugnada 4,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 4,Número de la legislatura del órgano emisor de la norma impugnada 4,Órgano que promulgó la norma impugnada 4,Nivel de gobierno del órgano que promulgó la norma impugnada 4,Entidad federativa del órgano emisor y promulgador de la norma impugnada 4,Norma impugnada 4,Validez territorial de la norma impugnada 4,Tipo de la norma impugnada 4,Fecha(s) de publicación de la norma impugnada 4,Órgano legislativo emisor de la norma impugnada 5,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 5,Número de la legislatura del órgano emisor de la norma impugnada 5,Órgano que promulgó la norma impugnada 5,Nivel de gobierno del órgano que promulgó la norma impugnada 5,Entidad federativa del órgano emisor y promulgador de la norma impugnada 5,Norma impugnada 5,Validez territorial de la norma impugnada 5,Tipo de la norma impugnada 5,Fecha(s) de publicación de la norma impugnada 5,Órgano legislativo emisor de la norma impugnada 6,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 6,Número de la legislatura del órgano emisor de la norma impugnada 6,Órgano que promulgó la norma impugnada 6,Nivel de gobierno del órgano que promulgó la norma impugnada 6,Entidad federativa del órgano emisor y promulgador de la norma impugnada 6,Norma impugnada 6,Validez territorial de la norma impugnada 6,Tipo de la norma impugnada 6,Fecha(s) de publicación de la norma impugnada 6,Órgano legislativo emisor de la norma impugnada 7,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 7,Número de la legislatura del órgano emisor de la norma impugnada 7,Órgano que promulgó la norma impugnada 7,Nivel de gobierno del órgano que promulgó la norma impugnada 7,Entidad federativa del órgano emisor y promulgador de la norma impugnada 7,Norma impugnada 7,Validez territorial de la norma impugnada 7,Tipo de la norma impugnada 7,Fecha(s) de publicación de la norma impugnada 7,Órgano legislativo emisor de la norma impugnada 8,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 8,Número de la legislatura del órgano emisor de la norma impugnada 8,Órgano que promulgó la norma impugnada 8,Nivel de gobierno del órgano que promulgó la norma impugnada 8,Entidad federativa del órgano emisor y promulgador de la norma impugnada 8,Norma impugnada 8,Validez territorial de la norma impugnada 8,Tipo de la norma impugnada 8,Fecha(s) de publicación de la norma impugnada 8,¿Se hace referencia a disposiciones internacionales?,Disposición(es) internacional(es) en escrito inicial,Disposición(es) internacional(es) en pedimento de la PGR,Disposición(es) internacional(es) en informes,Disposición(es) internacional(es) en sentencia,Disposición(es) internacional(es) en voto separado,En caso de informes; quien  hace mención a la(s) disposición(es) internacional(es),En caso de voto separado; tipo de voto y quien(es) emite(n) el voto separado,
Acción de Inconstitucionalidad,00068/2009-00,68,2009,SE ACUMULÓ AL 00067/2009-00,PRESIDENTE DEL COMITÉ EJECUTIVO NACIONAL DELPARTIDO ACCIÓN NACIONAL,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PAN,NO APLICA,1. 6. 14. 16. 41. 85. 99. 108. 116. 122.,15.10.2009,16.10.2009,JUAN N. SILVA MEZA,16.10.2009,ADMISIÓN,NO,NO,,PLENO,11.01.2010,JUAN N. SILVA MEZA,10.02.2010,NORMA (A): LEY DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES DEL ESTADO DE GUERRERO. ART.: DÉCIMO NOVENO; INCISO J); VIGÉSIMO Y VIGÉSIMO PRIMERO TRANSITORIO.,NO,,,,NORMA (B): CONSTITUCIÓN POLÍTICA DEL ESTADO DE GUERRERO. ART.: 61.,ELECTORAL,CONGRESO DEL ESTADO DE GUERRERO,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE GUERRERO,ESTATAL,GUERRERO,NORMA (1): DECRETO 118 POR MEDIO DEL CUAL SE REFORMA LA LEY NÚMERO 571 DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES DEL ESTADO DE GUERRERO. ART.: ÚNICO. DÉCIMO NOVENO; INCISO J).,(1) ESTATAL,(1) DECRETO,(1) 15.09.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00069/2009-00,69,2009,,PRESIDENTA DE LA COMISIÓN NACIONAL DE LOS DERECHOS HUMANOS,COMISIÓN DE DERECHOS HUMANOS,AUTÓNOMO FEDERAL,NO APLICA,NO APLICA,1; TERCER PÁRRAFO.,19.10.2009,20.10.2009,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,21.10.2009,ADMISIÓN,NO,NO,,PRIMERA SALA,08.09.2010,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,18.10.2010,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 20; FRACC. II; ART. 19; FRACC. V; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,DERECHOS HUMANOS,ASAMBLEA LEGISLATIVA DEL DISTRITO FEDERAL,DISTRITO FEDERAL,IV,JEFE DE GOBIERNO DEL DISTRITO FEDERAL,DISTRITO FEDERAL,DISTRITO FEDERAL,NORMA (1): LEY DE SALUD DEL DISTRITO FEDERAL. ART.: 16; FRACCIÓN XXII. 17; FRACCIÓN I; INCISO T). 44; FRACCIÓN II. 74; FRACCIÓN III.,(1) DISTRITO FEDERAL,(1) LEY,(1) 17.09.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÍ,NORMA (1): CONVENIO 159 DE ORGANIZACIÓN INTERNACIONAL DEL TRABAJO. NORMA (2): CONVENCIÓN INTERNACIONAL PARA LA ELIMINACIÓN DE TODAS LAS FORMAS DE DISCRIMINACIÓN CONTRA LAS PERSONAS CON DISCAPACIDAD. NORMA (3): RESOLUCIÓN 48/96 DEL 20 DE NOVIEMBRE DE 1993 DE LA ASAMBLEA GENERAL DE NACIONES UNIDAS SOBRE NORMAS UNIFORMES SOBRE LA IGUALDAD DE OPORTUNIDADES PARA LAS PERSONAS CON DISCAPACIDAD. NORMA (4): CONVENCIÓN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD.,,NORMA (4): CONVENCIÓN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD. NORMA (5): DECLARACIÓN UNIVERSAL DE LOS DERECHOS HUMANOS. ART.: 1 Y 2,,,NORMA (4); (5): PARTE AJENA.,,
Acción de Inconstitucionalidad,00070/2009-00,70,2009,,INTEGRANTES DE LA LVIII LEGISLATURA DEL ESTADO DE YUCATÁN,33% DEL ÓRGANO LEGISLATIVO ESTATAL,PODER LEGISLATIVO ESTATAL,NO APLICA,PAN-PRD,117; FRACCIÓN VIII; PÁRRAFO SEGUNDO.,21.10.2009,21.10.2009,JOSÉ RAMÓN COSSÍO DÍAZ,26.10.2009,ADMISIÓN,NO,NO,,PRIMERA SALA,27.01.2010,JOSÉ RAMÓN COSSÍO DÍAZ,29.01.2010,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 20; FRACC. II; ART. 19; FRACC. V; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,FISCAL,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LVIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY DE INGRESOS DEL ESTADO DE YUCATÁN PARA EL EJERCICIO FISCAL 2009.,(1) ESTATAL,(1) LEY,(1) 21.09.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00071/2009-00,71,2009,TIENE ACUMULADOS EL 00072/2009-00 Y 00073/2009-00,INTEGRANTES DE LA LIX LEGISLATURA DEL CONGRESO DEL ESTADO DE SINALOA,33% DEL ÓRGANO LEGISLATIVO ESTATAL,PODER LEGISLATIVO ESTATAL,NO APLICA,PAN,1. 14. 16. 40. 41. 116; FRACCIONES II Y IV. 133. 134.,22.10.2009,23.10.2009,MARGARITA BEATRIZ LUNA RAMOS,23.10.2009,ADMISIÓN,NO,NO,,PLENO,01.12.2009,MARGARITA BEATRIZ LUNA RAMOS,14.01.2010,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 15; PÁRRAFO PRIMERO; 144; PÁRRAFO PRIMERO.,SÍ,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 202; EN LA PORCIÓN NORMATIVA QUE ESTABLECE:  "? Y RECIBIRÁN REMUNERACIÓN ÚNICAMENTE DURANTE EL PROCESO ELECTORAL. SE EXCEPTÚA DE LO ANTERIOR  LA SALA DE RECONSIDERACIÓN; LA QUE FUNCIONARÁ EN FORMA PERMANENTE Y SUS INTEGRANTES RECIBIRÁN LA REMUNERACIÓN CORRESPONDIENTE".,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; 24; PÁRRAFO SEGUNDO; 30; PÁRRAFO PRIMERO; 155 SEGUNDO ENUNCIADO. NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4; 12; FRACCIÓN II; INCISO B); 49.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 134; TRES ÚLTIMOS PÁRRAFOS.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; INAPLICABLE PARA LA JORNADA ELECTORAL PRÓXIMA.,ELECTORAL,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (1): CONSTITUCIÓN DEL ESTADO DE SINALOA. ART.: 14. 24; PÁRRAFO SEGUNDO. 155.,(1) ESTATAL,(1) CONSTITUCIÓN,(1) 01.10.2009,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (2): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4. 15. 49.,(2) ESTATAL,(2) LEY,(2) 01.10.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00072/2009-00,72,2009,SE ACUMULÓ AL 00071/2009-00,PARTIDO DEL TRABAJO,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PT,NO APLICA,1. 14. 16. 41. 116; FRACCIONES II Y IV. 133.,26.10.2009,26.10.2009,MARGARITA BEATRIZ LUNA RAMOS,27.10.2009,ADMISIÓN,NO,NO,,PLENO,01.12.2009,MARGARITA BEATRIZ LUNA RAMOS,14.01.2010,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 15; PÁRRAFO PRIMERO; 144; PÁRRAFO PRIMERO.,SÍ,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 202; EN LA PORCIÓN NORMATIVA QUE ESTABLECE:  "? Y RECIBIRÁN REMUNERACIÓN ÚNICAMENTE DURANTE EL PROCESO ELECTORAL. SE EXCEPTÚA DE LO ANTERIOR  LA SALA DE RECONSIDERACIÓN; LA QUE FUNCIONARÁ EN FORMA PERMANENTE Y SUS INTEGRANTES RECIBIRÁN LA REMUNERACIÓN CORRESPONDIENTE".,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; 24; PÁRRAFO SEGUNDO; 30; PÁRRAFO PRIMERO; 155 SEGUNDO ENUNCIADO. NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4; 12; FRACCIÓN II; INCISO B); 49.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 134; TRES ÚLTIMOS PÁRRAFOS.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; INAPLICABLE PARA LA JORNADA ELECTORAL PRÓXIMA.,ELECTORAL,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (1): DECRETO NÚMERO 397 QUE REFORMA DIVERSAS DISPOSICIONES DE LA LEY ELECTORAL DEL ESTADO DE SINALOA; ASÍ COMO POR OMISIÓN PARCIAL LOS ARTÍCULOS 24 SEGUNDO PÁRRAFO; SEGUNDA ORACIÓN QUE INDICA "EN TODO CASO; CADA MUNICIPIO TENDRÁ CUANDO MENOS UN DISTRITO ELECTORAL UNINOMINAL" Y 30 DE LA CONSTITUCIÓN POLÍTICA DEL ESTADO LIBRE Y SOBERANO DE SINALOA Y CONSECUENTEMENTE EL ARTÍCULO 4- CON EXCEPCIÓN DE SU PRIMER PÁRRAFO- DE LA LEY ELECTORAL DEL ESTADO DE SINALOA.,(1) ESTATAL,(1) DECRETO,(1) 01.10.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00073/2009-00,73,2009,SE ACUMULÓ AL 00071/2009-00,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PRD,NO APLICA,1. 14. 16. 41. 116; FRACCIONES II Y IV. 133.,26.10.2009,26.10.2009,MARGARITA BEATRIZ LUNA RAMOS,27.10.2009,ADMISIÓN,NO,NO,,PLENO,01.12.2009,MARGARITA BEATRIZ LUNA RAMOS,13.01.2010,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 15; PÁRRAFO PRIMERO; 144; PÁRRAFO PRIMERO.,SÍ,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 202; EN LA PORCIÓN NORMATIVA QUE ESTABLECE:  "? Y RECIBIRÁN REMUNERACIÓN ÚNICAMENTE DURANTE EL PROCESO ELECTORAL. SE EXCEPTÚA DE LO ANTERIOR A LA SALA DE RECONSIDERACIÓN; LA QUE FUNCIONARÁ EN FORMA PERMANENTE Y SUS INTEGRANTES RECIBIRÁN LA REMUNERACIÓN CORRESPONDIENTE".,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; 24; PÁRRAFO SEGUNDO; SEGUNDO ENUNCIADO; 30; PÁRRAFO PRIMERO; 155. NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4; 12; FRACCIÓN II; INCISO B); 49.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 134; TRES ÚLTIMOS PÁRRAFOS.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; INAPLICABLE PARA LA JORNADA ELECTORAL PRÓXIMA.,ELECTORAL,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (1): DECRETO NÚMERO 397 QUE REFORMA DIVERSAS DISPOSICIONES DE LA LEY ELECTORAL DEL ESTADO DE SINALOA; ASÍ COMO POR OMISIÓN PARCIAL LOS ARTÍCULOS 24 SEGUNDO PÁRRAFO; SEGUNDA ORACIÓN QUE INDICA "EN TODO CASO; CADA MUNICIPIO TENDRÁ CUANDO MENOS UN DISTRITO ELECTORAL UNINOMINAL" Y 30 DE LA CONSTITUCIÓN POLÍTICA DEL ESTADO LIBRE Y SOBERANO DE SINALOA Y CONSECUENTEMENTE EL ARTÍCULO 4- CON EXCEPCIÓN DE SU PRIMER PÁRRAFO- DE LA LEY ELECTORAL DEL ESTADO DE SINALOA.,(1) ESTATAL,(1) DECRETO,(1) 01.10.2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00074/2009-00,74,2009,,PRESIDENTE DEL COMITÉ EJECUTIVO NACIONAL DEL PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PRD,NO APLICA,1. 6; PÁRRAFO SEGUNDO. 14. 16. 35; FRACCIONES I Y II. 36; FRACCIONES III Y IV. 39. 40. 41; PÁRRAFO PRIMERO. 115; FRACCIONES II Y VIII. 116; FRACCIONES I; II Y IV INCISO B). 128. 133.,26.10.2009,26.10.2009,SERGIO A. VALLS HERNÁNDEZ,27.10.2009,ADMISIÓN,NO,NO,,SEGUNDA SALA,20.01.2010,SERGIO A. VALLS HERNÁNDEZ,11.02.2010,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 20; FRACC. II; ART. 19; FRACC. V; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,ELECTORAL,CONGRESO DEL ESTADO DE CHIAPAS,ESTATAL,LXIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE CHIAPAS,ESTATAL,CHIAPAS,NORMA (1): CONSTITUCIÓN POLÍTICA DEL ESTADO LIBRE Y SOBERANO DE CHIAPAS.,(1) ESTATAL,(1) CONSTITUCIÓN,(1) 12.09.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00075/2009-00,75,2009,SE ACUMULÓ AL 00071/2009-00,PARTIDO ACCIÓN NACIONAL,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PAN,NO APLICA,1. 14. 16. 40. 41. 116. 133. SEGUNDO TRANSITORIO. SEXTO TRANSITORIO.,30.10.2009,03.11.2009,MARGARITA BEATRIZ LUNA RAMOS,03.11.2009,ADMISIÓN,NO,NO,,PLENO,01.12.2009,MARGARITA BEATRIZ LUNA RAMOS,14.01.2010,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 15; PÁRRAFO PRIMERO; 144; PÁRRAFO PRIMERO.,SÍ,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 202; EN LA PORCIÓN NORMATIVA QUE ESTABLECE:  "? Y RECIBIRÁN REMUNERACIÓN ÚNICAMENTE DURANTE EL PROCESO ELECTORAL. SE EXCEPTÚA DE LO ANTERIOR A LA SALA DE RECONSIDERACIÓN; LA QUE FUNCIONARÁ EN FORMA PERMANENTE Y SUS INTEGRANTES RECIBIRÁN LA REMUNERACIÓN CORRESPONDIENTE".,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; 24; PÁRRAFO SEGUNDO; SEGUNDO ENUNCIADO; 30; PÁRRAFO PRIMERO; 155. NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4; 12; FRACCIÓN II; INCISO B); 49.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 134; TRES ÚLTIMOS PÁRRAFOS.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; INAPLICABLE PARA LA JORNADA ELECTORAL PRÓXIMA.,ELECTORAL,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (1): DECRETO NÚMERO 397; POR EL QUE SE ADICIONAN DIVERSAS DISPOSICIONES A LA LEY ELECTORAL DEL ESTADO DE SINALOA; CON FUNDAMENTO EN LO DISPUESTOS EN EL ARTÍCULO 73 EN RELACIÓN CON EL 41; FRACCIÓN IV; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS; SE RECLAMA LA INVALIDEZ POR OMISIÓN LEGISLATIVA DE LOS ARTÍCULOS 14; 15; 24 Y 155 DE LA CONSTITUCIÓN DEL ESTADO LIBRE Y SOBERANO DE SINALOA; ASÍ COMO LA INVALIDEZ DE LOS ARTÍCULOS 3; 3 BIS; 4; 15 Y 49 DE LA LEY LECTORAL DEL MISMO ESTADO; CONTENIDOS EN EL DECRETO NÚMERO 397.,(1) ESTATAL,(1) DECRETO,(1) 09.10.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00076/2009-00,76,2009,SE ACUMULÓ AL 00071/2009-00,PARTIDO CONVERGENCIA,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,CONVERGENCIA,NO APLICA,1. 14. 16. 41. 116; FRACCIONES II Y IV. 133.,30.10.2009,03.11.2009,MARGARITA BEATRIZ LUNA RAMOS,03.11.2009,ADMISIÓN,NO,NO,,PLENO,01.12.2009,MARGARITA BEATRIZ LUNA RAMOS,14.01.2010,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 15; PÁRRAFO PRIMERO; 144; PÁRRAFO PRIMERO.,SÍ,NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 202; EN LA PORCIÓN NORMATIVA QUE ESTABLECE:  "? Y RECIBIRÁN REMUNERACIÓN ÚNICAMENTE DURANTE EL PROCESO ELECTORAL. SE EXCEPTÚA DE LO ANTERIOR A LA SALA DE RECONSIDERACIÓN; LA QUE FUNCIONARÁ EN FORMA PERMANENTE Y SUS INTEGRANTES RECIBIRÁN LA REMUNERACIÓN CORRESPONDIENTE".,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; 24; PÁRRAFO SEGUNDO; SEGUNDO ENUNCIADO; 30; PÁRRAFO PRIMERO; 155. NORMA (B): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 4; 12; FRACCIÓN II; INCISO B); 49.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 134; TRES ÚLTIMOS PÁRRAFOS.,NORMA (A): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 14; INAPLICABLE PARA LA JORNADA ELECTORAL PRÓXIMA.,ELECTORAL,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (1): LEY ELECTORAL DEL ESTADO DE SINALOA. ART.: 24; PÁRRAFO SEGUNDO.,(1) ESTATAL,(1) LEY,(1) 01.10.2009,CONGRESO DEL ESTADO DE SINALOA,ESTATAL,LIX,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE SINALOA,ESTATAL,SINALOA,NORMA (2): CONSTITUCIÓN POLÍTICA DEL ESTADO DE SINALOA. ART.: 30.,(2) ESTATAL,(2) CONSTITUCIÓN,(2) 01.10.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00077/2009-00,77,2009,SE ACUMULÓ AL 00074/2009-00,PRESIDENTE DEL COMITÉ EJECUTIVO NACIONAL DEL PARTIDO REVOLUCIONARIO INSTITUCIONAL,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PRI,NO APLICA,1. 35; FRACCIONES I Y II. 36. 39. 40. 41; PÁRRAFO PRIMERO. 115; FRACCIÓN I. 116; FRACCIONES II Y IV. 128. 133.,30.10.2009,03.11.2009,SERGIO A. VALLS HERNÁNDEZ,04.11.2009,ADMISIÓN,NO,NO,,SEGUNDA SALA,20.01.2010,SERGIO A. VALLS HERNÁNDEZ,11.02.2010,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 20; FRACC. II; ART. 19; FRACC. V; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,ELECTORAL,CONGRESO DEL ESTADO DE CHIAPAS,ESTATAL,LXIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE CHIAPAS,ESTATAL,CHIAPAS,NORMA (1): CONSTITUCIÓN POLÍTICA DEL ESTADO DE CHIAPAS.,(1) ESTATAL,(1) CONSTITUCIÓN,(1) 12.09.2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
